"","city","state_name","lat","lng"
"1","Seattle","Washington",47.6217,-122.3238
"2","Pullman","Washington",46.7327,-117.1634
"3","Lincoln","Washington",47.829,-118.415
"4","Auburn","Washington",47.3039,-122.2108
"5","Lexington","Washington",46.1873,-122.9054
"6","Columbia","Virginia",37.7533,-78.1638
"7","Lexington","Virginia",37.7825,-79.444
"8","Charlottesville","Virginia",38.0374,-78.4856
"9","Blacksburg","Virginia",37.23,-80.4277
"10","Gainesville","Virginia",38.7931,-77.6347
"11","Madison","Virginia",38.379,-78.2586
"12","Greenville","Virginia",38.0036,-79.1522
"13","Pullman","West Virginia",39.188,-80.949
"14","Auburn","West Virginia",39.0962,-80.8562
"15","Morgantown","West Virginia",39.6379,-79.9468
"16","Fayetteville","West Virginia",38.0623,-81.1084
"17","Athens","West Virginia",37.423,-81.0148
"18","Madison","West Virginia",38.0632,-81.8046
"19","Greenville","West Virginia",37.5435,-80.6826
"20","Columbia","Florida",30.0738,-82.6957
"21","Tallahassee","Florida",30.4549,-84.2527
"22","Miami","Florida",25.784,-80.2102
"23","Auburn","Florida",30.8202,-86.5377
"24","Oxford","Florida",28.9275,-82.0373
"25","Raleigh","Florida",29.4479,-82.4681
"26","Berkeley","Florida",28.5028,-82.5887
"27","Gainesville","Florida",29.6814,-82.3454
"28","Madison","Florida",30.4685,-83.416
"29","Greenville","Florida",30.4668,-83.6352
"30","Columbia","New Jersey",40.926,-75.0945
"31","Columbus","New Jersey",40.0726,-74.7207
"32","Madison","New Jersey",40.7585,-74.417
"33","Auburn","New Jersey",39.7109,-75.3677
"34","New Brunswick","New Jersey",40.487,-74.445
"35","Oxford","New Jersey",40.8052,-74.9966
"36","Waco","Texas",31.5597,-97.1882
"37","Fort Worth","Texas",32.7813,-97.3466
"38","Lubbock","Texas",33.5665,-101.8867
"39","Lincoln","Texas",30.2874,-96.9633
"40","Fayetteville","Texas",29.9063,-96.6758
"41","Athens","Texas",32.2053,-95.8348
