city,state_name,lat,lng
Prairie Ridge,Washington,47.1443,-122.1408
Edison,Washington,48.5602,-122.4311
Packwood,Washington,46.6085,-121.6702
Wautauga Beach,Washington,47.5862,-122.5482
Harper,Washington,47.5207,-122.5196
Telma,Washington,47.8432,-120.8157
Kahlotus,Washington,46.6436,-118.5566
Mondovi,Washington,47.6813,-118.0164
Washtucna,Washington,46.7539,-118.3104
Pleasant Hill,Washington,47.6154,-121.9096
Toledo,Washington,46.4412,-122.8494
Wabash,Washington,47.2429,-122.0576
Renton,Washington,47.4757,-122.1904
Chehalis,Washington,46.6649,-122.966
Central Valley,Washington,47.6632,-122.6499
Lake City,Washington,47.1487,-122.5512
Megler,Washington,46.2509,-123.8576
Alder,Washington,46.7872,-122.2666
Ronald,Washington,47.2338,-121.0335
Belvedere,Washington,48.0499,-118.985
Waverly,Washington,47.338,-117.2313
Turner Corner,Washington,47.8045,-122.1435
Lofall,Washington,47.8113,-122.6564
Kennydale,Washington,47.5207,-122.2068
Easton,Washington,47.2405,-121.1733
Navy Yard City,Washington,47.5508,-122.6654
Mercer Island,Washington,47.5624,-122.2265
Lynnwood,Washington,47.8285,-122.3034
Coulee City,Washington,47.6123,-119.289
Douglas,Washington,47.6212,-120.0048
Centralia,Washington,46.7226,-122.9695
Colbert,Washington,47.8266,-117.3419
Bryn Mawr,Washington,47.5034,-122.2329
Silverdale,Washington,47.6663,-122.6828
Lyle,Washington,45.6956,-121.2805
Malott,Washington,48.2919,-119.6954
Mountlake Terrace,Washington,47.7921,-122.3077
Ilwaco,Washington,46.3099,-124.0417
Fairwood,Washington,47.4467,-122.143
Warm Beach,Washington,48.1649,-122.3442
Thomas,Washington,47.3537,-122.229
Parker,Washington,46.5022,-120.4668
Steptoe,Washington,47.0075,-117.3502
Vail,Washington,46.8451,-122.6562
Magnolia Beach,Washington,47.382,-122.4832
Lakeview,Washington,47.1593,-122.4982
Shaw Island,Washington,48.5843,-122.9291
Oakesdale,Washington,47.1304,-117.2465
Rosburg,Washington,46.3076,-123.6344
Seattle,Washington,47.6217,-122.3238
Onalaska,Washington,46.5782,-122.7112
George,Washington,47.0847,-119.8601
Index,Washington,47.8214,-121.556
Winchester,Washington,47.249,-119.7198
Chelatchie,Washington,45.9279,-122.3795
Allentown,Washington,47.4943,-122.2762
Novelty,Washington,47.709,-121.9846
Rosalia,Washington,47.2365,-117.3762
Richmond Beach,Washington,47.7695,-122.3901
Lakota,Washington,47.3329,-122.3723
Liberty Lake,Washington,47.6687,-117.1031
Airway Heights,Washington,47.6464,-117.5802
Reardan,Washington,47.67,-117.8778
Silvana,Washington,48.2018,-122.2461
Brier,Washington,47.7924,-122.2736
Robe,Washington,48.0973,-121.8135
Elk Plain,Washington,47.0448,-122.3671
Port Townsend,Washington,48.1219,-122.7873
Ocean City,Washington,47.0762,-124.1619
Boulevard Park,Washington,47.5135,-122.3158
Newhalem,Washington,48.6737,-121.2473
Ford,Washington,47.9082,-117.8058
Waterville,Washington,47.648,-120.0707
Quinault,Washington,47.467,-123.8455
Humptulips,Washington,47.2491,-123.9348
Hamilton,Washington,48.5281,-121.9837
Oak Harbor,Washington,48.2965,-122.6331
Naches,Washington,46.727,-120.6941
Anacortes,Washington,48.4878,-122.6291
Kettle Falls,Washington,48.6055,-118.0612
Walnut Grove,Washington,45.6769,-122.6072
Salkum,Washington,46.5321,-122.6259
Cunningham,Washington,46.8221,-118.8064
Irby,Washington,47.3593,-118.8511
Electric City,Washington,47.9222,-119.0476
Burbank,Washington,46.1991,-118.9728
Silver Lake,Washington,46.2973,-122.8107
Dash Point,Washington,47.313,-122.4153
Woods Creek,Washington,47.8821,-121.8982
McKenna,Washington,46.9366,-122.5501
Island View,Washington,46.2393,-119.2233
Kalama,Washington,46.0115,-122.8369
Grandview,Washington,46.2432,-119.9082
Winthrop,Washington,48.4719,-120.179
Maltby,Washington,47.8026,-122.1044
Spangle,Washington,47.4297,-117.3813
Blanchard,Washington,48.5934,-122.4166
Artondale,Washington,47.3023,-122.6398
May Creek,Washington,47.8555,-121.6742
Home,Washington,47.279,-122.7744
Vashon,Washington,47.4122,-122.4726
Snoqualmie Falls,Washington,47.5398,-121.8098
Laurier,Washington,48.9974,-118.2247
Quincy,Washington,47.2342,-119.8512
Lake McMurray,Washington,48.3129,-122.2317
Martha Lake,Washington,47.8479,-122.2327
Ariel,Washington,45.9568,-122.5709
Loon Lake,Washington,48.0686,-117.6299
Thornton,Washington,47.1207,-117.3896
Starbuck,Washington,46.5184,-118.1251
Mirrormont,Washington,47.4616,-121.9936
Kelso,Washington,46.1249,-122.8907
Meadowdale,Washington,47.8584,-122.3161
Cottage Lake,Washington,47.7465,-122.0755
Cheney,Washington,47.49,-117.5789
Woodway,Washington,47.7906,-122.3849
Lacey,Washington,47.0444,-122.7933
Harrah,Washington,46.407,-120.5422
Allyn,Washington,47.3863,-122.8386
South Bend,Washington,46.6683,-123.8016
Barstow,Washington,48.7783,-118.1329
Tiger,Washington,48.6916,-117.4077
Warden,Washington,46.9682,-119.0512
Junction City,Washington,46.9712,-123.7651
Blyn,Washington,48.0131,-122.9897
Lakebay,Washington,47.257,-122.7585
Tahuya,Washington,47.3712,-123.0557
Selah,Washington,46.648,-120.5388
Kitsap Lake,Washington,47.5829,-122.7085
Sultan,Washington,47.8703,-121.8036
Plain,Washington,47.7626,-120.6573
