Keyword,Position,Previous Position,Search Volume,Keyword Difficulty Index,CPC,Url,Traffic (%),Traffic Cost (%),Competition,Number of Results,Trends,Timestamp
"goodyear hydraulic hose fittings","33","43","20","56.33","7.51","https://hoseinahurry.com/","0.00","0.00","1.00","368000","0.14,0.71,0.14,0.00,0.14,0.14,0.14,0.57,0.14,1.00,1.00,0.43","1527932132"
"stainless steel hydraulic fittings","31","20","10","48.31","5.37","https://hoseinahurry.com/","0.00","0.00","1.00","13100000","1.00,0.29,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.29,0.29,0.14","1530212006"
"steel braided hydraulic hose","28","23","10","60.03","3.89","https://hoseinahurry.com/","0.00","0.00","0.98","1370000","0.20,0.20,1.00,0.20,0.60,0.40,0.60,0.20,0.80,0.20,0.20,0.20","1530222564"
"stainless steel hydraulic hose","8","9","10","51.74","3.42","https://hoseinahurry.com/","0.00","100.00","1.00","14800000","0.11,0.33,0.11,0.78,0.11,0.11,0.11,1.00,0.11,0.33,0.33,0.56","1530214937"
"stainless steel braided hydraulic hose","9","13","10","47.91","3.09","https://hoseinahurry.com/","0.00","0.00","1.00","1310000","1.00,0.33,0.33,0.33,0.33,0.33,0.33,0.67,0.33,0.33,0.33,0.67","1529862610"
"hydraulic hose store","93","0","10","46.34","2.53","https://hoseinahurry.com/","0.00","0.00","0.49","15400000","0.03,0.03,0.03,0.03,0.06,0.06,0.06,0.03,1.00,0.44,0.44,0.03","1529855723"
"stainless hydraulic fittings","30","22","10","43.01","2.38","https://hoseinahurry.com/","0.00","0.00","1.00","13800000","0.25,0.25,0.25,0.25,0.50,1.00,0.50,0.25,0.50,0.25,0.25,0.25","1530222924"
"steel hydraulic lines and fittings","36","37","20","65.58","2.32","https://hoseinahurry.com/","0.00","0.00","1.00","15800000","0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.75,0.25,1.00,1.00,1.00","1527909917"
"steel hydraulic fittings","74","69","20","57.16","2.15","https://hoseinahurry.com/","0.00","0.00","1.00","22200000","0.20,0.20,0.40,0.20,0.20,1.00,0.20,0.20,0.20,0.20,0.20,0.20","1530017472"
"stainless steel hydraulic hose fittings","15","12","40","51.69","1.95","https://hoseinahurry.com/","0.00","0.00","1.00","940000","1.00,0.22,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.22,0.22,0.11","1527466519"
"stainless steel hydraulic pipe","46","39","10","57.55","0.87","https://hoseinahurry.com/","0.00","0.00","1.00","17100000","1.00,0.50,0.50,1.00,0.50,0.50,0.50,1.00,0.50,0.50,0.50,1.00","1529759558"
"stainless steel hydraulic lines","16","14","30","55.50","0.82","https://hoseinahurry.com/","0.00","0.00","1.00","10300000","0.50,0.50,0.50,0.50,0.50,1.00,1.00,0.50,1.00,0.50,0.50,0.50","1530141609"
"4 wire hydraulic hose","52","37","50","53.46","0.62","https://hoseinahurry.com/collections/4-wire-hydraulic-hose","0.00","0.00","1.00","13400000","0.29,1.00,0.14,0.29,0.14,0.14,0.14,0.43,0.14,0.57,0.71,0.57","1528466303"
"goodyear hydraulic hose","50","63","10","52.24","0.40","https://hoseinahurry.com/","0.00","0.00","1.00","690000","0.20,0.20,1.00,0.20,0.60,0.40,0.40,0.20,0.80,0.20,0.20,0.20","1529723631"
"stainless steel hydraulic pipe fittings","22","33","50","46.92","0.00","https://hoseinahurry.com/","0.00","0.00","1.00","6380000","0.11,0.11,0.44,0.00,1.00,0.11,0.78,0.11,0.56,0.11,0.11,0.11","1527876461"
"goodyear hydraulic fittings","63","88","30","46.55","0.00","https://hoseinahurry.com/","0.00","0.00","0.96","432000","0.29,1.00,0.14,0.43,0.14,0.14,0.14,0.29,0.14,0.71,0.71,0.43","1530083428"
"cline hose and hydraulics","40","0","10","81.36","0.00","https://hoseinahurry.com/pages/terms-conditions","0.00","0.00","0.03","223000","0.01,0.03,0.01,0.04,0.01,0.01,0.01,0.05,0.01,0.02,0.02,1.00","1529557495"
